,count,imdb_keys,movie_titles,average_domroi,domroilist,average_worldroi,worldroilist
tied to chair,3,"['tt1448755', 'tt1308729', 'tt2039393']","['Killer Elite', 'Bullet to the Head', 'The Gambler']",-0.37376320103896105,"[-0.6410716285714285, -0.8274576545454545, 0.34723968]",-0.03533055116883118,"[-0.06558505714285713, -0.5891278363636364, 0.54872124]"
independent film',3,"['tt1754633', 'tt3145220', 'tt1716760']","['The Ghastly Love of Johnny X', 'Hits', 'Raymond Did It']",-0.9642753333333335,"[-0.998782, -0.984844, -0.9092]",-0.9642753333333335,"[-0.998782, -0.984844, -0.9092]"
surfer,3,"['tt0102685', 'tt1596346', 'tt2515030']","['Point Break', 'Soul Surfer', 'Escobar: Paradise Lost']",-0.08811889339869272,"[-0.71217519, 1.4363013333333334, -0.9884828235294116]",0.37247424233115467,"[0.26704591, 1.6199251111111108, -0.7695482941176469]"
drone,3,"['tt1194173', 'tt1483013', 'tt4667094']","['The Bourne Legacy', 'Oblivion', 'Fifty Shades of Black']",0.32852641722222226,"[-0.09436904, -0.2574397083333333, 1.337388]",2.0215892116666665,"[1.24284736, 1.399305275, 3.422615]"
montage,3,"['tt0433035', 'tt3076658', 'tt4462082']","['Real Steel', 'Creed', 'Counting']",0.30370351703521703,"[-0.22306082727272727, 1.9666913783783784, -0.83252]",1.4191359645372648,"[1.398912190909091, 3.691015702702703, -0.83252]"
dance class,3,"['tt1414382', 'tt1874789', 'tt1294161']","['You Again', 'Supporting Characters', 'The Exploding Girl']",-0.33121578333333335,"[0.28510265, -0.91805, -0.3607]",-0.21226758333333337,"[0.64194725, -0.91805, -0.3607]"
mythology,3,"['tt0082186', 'tt1253864', 'tt3850590']","['Clash of the Titans', 'Immortals', 'Krampus']",0.7558236657777778,"[0.30571910399999996, 0.11338689333333335, 1.848365]",2.628592590222222,"[2.9457191039999997, 1.8208324666666664, 3.1192262000000004]"
gambler,3,"['tt3778644', 'tt2039393', 'tt3276924']","['Solo: A Star Wars Story', 'The Gambler', 'Heist']",-0.28993021810010217,"[-0.2226635927272728, 0.34723968, -0.9943667415730336]",0.11728678899557372,"[0.4296412618181818, 0.54872124, -0.6265021348314607]"
sexual desire,3,"['tt2191701', 'tt1956620', 'tt0067800']","['Grown Ups 2', 'Sex Tape', 'Straw Dogs']",0.0158070091666667,"[0.6708565625, -0.036413175, -0.58702236]",1.229896055,"[2.0877976, 2.151737725, -0.54984716]"
childhood,3,"['tt4575576', 'tt1374992', 'tt0478304']","[imdbcode
tt4575576    Christopher Robin
tt4575576      Winnie the Pooh
Name: movie, dtype: object, 'Upside Down', 'The Tree of Life']",,"[-0.99795764, -0.6198381428571429]",,"[-0.47225922, 0.7634807428571428]"
