,0,1
tt3748528,"['Felicity Jones', 'Diego Luna', 'Alan Tudyk', 'Donnie Yen', 'Wen Jiang', 'Ben Mendelsohn', 'Guy Henry', 'Forest Whitaker', 'Riz Ahmed', 'Mads Mikkelsen', 'Jimmy Smits', 'Alistair Petrie', ""Genevieve O'Reilly"", 'Ben Daniels', 'Paul Kasey']","['nm0428065', 'nm0526019', 'nm0876138', 'nm0947447', 'nm0422638', 'nm0578853', 'nm0377844', 'nm0001845', 'nm1981893', 'nm0586568', 'nm0001751', 'nm0677944', 'nm0642444', 'nm0199842', 'nm1208004']"
tt2277860,"['Ellen DeGeneres', 'Albert Brooks', ""Ed O'Neill"", 'Kaitlin Olson', 'Hayden Rolence', 'Ty Burrell', 'Diane Keaton', 'Eugene Levy', 'Sloane Murray', 'Idris Elba', 'Dominic West', 'Bob Peterson', 'Kate McKinnon', 'Bill Hader', 'Sigourney Weaver']","['nm0001122', 'nm0000983', 'nm0642145', 'nm0647698', 'nm5348776', 'nm0123092', 'nm0000473', 'nm0506405', 'nm8204463', 'nm0252961', 'nm0922035', 'nm0677037', 'nm0571952', 'nm0352778', 'nm0000244']"
tt0435761,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty', 'Don Rickles', 'Michael Keaton', 'Wallace Shawn', 'John Ratzenberger', 'Estelle Harris', 'John Morris', 'Jodi Benson', 'Emily Hahn', 'Laurie Metcalf', 'Blake Clark', 'Teddy Newton']","['nm0000158', 'nm0000741', 'nm0000349', 'nm0000885', 'nm0725543', 'nm0000474', 'nm0001728', 'nm0001652', 'nm0364680', 'nm0606658', 'nm0072533', 'nm3432684', 'nm0582418', 'nm0163703', 'nm0628599']"
tt1300854,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Jon Favreau', 'Ben Kingsley', 'James Badge Dale', 'Stephanie Szostak', 'Paul Bettany', 'William Sadler', 'Dale Dickey', 'Ty Simpkins', 'Miguel Ferrer', 'Xueqi Wang']","['nm0000375', 'nm0000569', 'nm0000332', 'nm0001602', 'nm0356017', 'nm0269463', 'nm0001426', 'nm0197647', 'nm1210895', 'nm0079273', 'nm0006669', 'nm0225460', 'nm1339223', 'nm0001208', 'nm1281653']"
tt1014759,"['Johnny Depp', 'Mia Wasikowska', 'Helena Bonham Carter', 'Anne Hathaway', 'Crispin Glover', 'Matt Lucas', 'Michael Sheen', 'Stephen Fry', 'Alan Rickman', 'Barbara Windsor', 'Paul Whitehouse', 'Timothy Spall', 'Marton Csokas', 'Tim Pigott-Smith', 'John Surman']","['nm0000136', 'nm1985859', 'nm0000307', 'nm0004266', 'nm0000417', 'nm0524240', 'nm0790688', 'nm0000410', 'nm0000614', 'nm0934774', 'nm0925768', 'nm0001758', 'nm0190744', 'nm0683116', 'nm0839682']"
tt1074638,"['Daniel Craig', 'Judi Dench', 'Javier Bardem', 'Ralph Fiennes', 'Naomie Harris', 'Bérénice Marlohe', 'Albert Finney', 'Ben Whishaw', 'Rory Kinnear', 'Ola Rapace', 'Helen McCrory', 'Nicholas Woodeson', 'Bill Buckhurst', 'Elize du Toit', 'Ian Bonar']","['nm0185819', 'nm0001132', 'nm0000849', 'nm0000146', 'nm0365140', 'nm2966102', 'nm0001215', 'nm0924210', 'nm1239499', 'nm0635262', 'nm0567031', 'nm0940245', 'nm1148026', 'nm1081097', 'nm1947068']"
tt1453405,"['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren', 'Peter Sohn', 'Joel Murray', 'Sean Hayes', 'Dave Foley', 'Charlie Day', 'Alfred Molina', 'Tyler Labine', 'Nathan Fillion', 'Aubrey Plaza', 'Bobby Moynihan', 'Noah Johnston']","['nm0000345', 'nm0000422', 'nm0000114', 'nm0000545', 'nm0812307', 'nm0615063', 'nm0005003', 'nm0004929', 'nm0206359', 'nm0000547', 'nm0479527', 'nm0277213', 'nm2201555', 'nm1293885', 'nm3096859']"
tt1623205,"['James Franco', 'Mila Kunis', 'Rachel Weisz', 'Michelle Williams', 'Zach Braff', 'Bill Cobbs', 'Joey King', 'Tony Cox', 'Stephen R. Hart', 'Abigail Spencer', 'Bruce Campbell', 'Ted Raimi', 'Tim Holmes', 'Toni Wynne', 'Rob Crites']","['nm0290556', 'nm0005109', 'nm0001838', 'nm0931329', 'nm0103785', 'nm0167850', 'nm1428821', 'nm0185272', 'nm1242679', 'nm0817844', 'nm0132257', 'nm0001646', 'nm3020898', 'nm1071784', 'nm0188229']"
tt1877832,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Halle Berry', 'Nicholas Hoult', 'Anna Paquin', 'Ellen Page', 'Peter Dinklage', 'Shawn Ashmore', 'Omar Sy', 'Evan Peters', 'Josh Helman', 'Daniel Cudmore', 'Bingbing Fan']","['nm0413168', 'nm0564215', 'nm1055413', 'nm2225369', 'nm0000932', 'nm0396558', 'nm0001593', 'nm0680983', 'nm0227759', 'nm0039162', 'nm1082477', 'nm1404239', 'nm2890541', 'nm1214436', 'nm1549063']"
tt1872181,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Dane DeHaan', 'Colm Feore', 'Felicity Jones', 'Paul Giamatti', 'Sally Field', 'Embeth Davidtz', 'Campbell Scott', 'Marton Csokas', 'Louis Cancelmi', 'Max Charles', 'B.J. Novak', 'Sarah Gadon']","['nm1940449', 'nm1297015', 'nm0004937', 'nm2851530', 'nm0272173', 'nm0428065', 'nm0316079', 'nm0000398', 'nm0001110', 'nm0001714', 'nm0190744', 'nm1209413', 'nm1934618', 'nm1145983', 'nm0300589']"
tt1216475,"['Larry the Cable Guy', 'Owen Wilson', 'Michael Caine', 'Emily Mortimer', 'Eddie Izzard', 'John Turturro', 'Brent Musburger', 'Joe Mantegna', 'Thomas Kretschmann', 'Peter Jacobson', 'Bonnie Hunt', 'Darrell Waltrip', 'Franco Nero', 'David Hobbs', 'Patrick Walker']","['nm1249256', 'nm0005562', 'nm0000323', 'nm0607865', 'nm0412850', 'nm0001806', 'nm0615554', 'nm0001505', 'nm0470981', 'nm0414772', 'nm0001372', 'nm1267353', 'nm0626259', 'nm0387586', 'nm1746722']"
