,0,1,2,3,4,5,6
tt1133985,['Martin Campbell'],nm0132709,"['Greg Berlanti (screenplay)', 'Michael Green (screenplay)']","['nm0075528', 'nm0338169', 'edits#writers']","['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard']","['nm0005351', 'nm0515116', 'nm0765597']",39
tt0473075,['Mike Newell'],nm0001565,"['Boaz Yakin (screenplay)', 'Doug Miro (screenplay)']","['nm0945026', 'nm1215164', 'edits#writers']","['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley']","['nm0350453', 'nm2605345', 'nm0001426']",50
tt1399103,['Michael Bay'],nm0000881,['Ehren Kruger'],['nm0472567'],"['Shia LaBeouf', 'Rosie Huntington-Whiteley', 'Tyrese Gibson']","['nm0479471', 'nm2492819', 'nm0879085']",42
tt0120616,['Stephen Sommers'],nm0814085,"['Stephen Sommers (screen story)', 'Lloyd Fonvielle (screen story)']","['nm0814085', 'nm0285126', 'edits#writers']","['Brendan Fraser', 'Rachel Weisz', 'John Hannah']","['nm0000409', 'nm0001838', 'nm0001314']",48
tt1351685,['Bryan Singer'],nm0001741,"['Darren Lemke (screenplay)', 'Christopher McQuarrie (screenplay)']","['nm0501359', 'nm0003160', 'edits#writers']","['Nicholas Hoult', 'Stanley Tucci', 'Ewan McGregor']","['nm0396558', 'nm0001804', 'nm0000191']",51
tt2820852,['James Wan'],nm1490123,"['Chris Morgan', 'Gary Scott Thompson (characters)']","['nm0604555', 'nm0860155']","['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']","['nm0004874', 'nm0908094', 'nm0425005']",67
tt1408101,['J.J. Abrams'],nm0009190,"['Roberto Orci', 'Alex Kurtzman']","['nm0649460', 'nm0476064', 'edits#writers']","['Chris Pine', 'Zachary Quinto', 'Zoe Saldana']","['nm1517976', 'nm0704270', 'nm0757855']",72
tt0816711,['Marc Forster'],nm0286975,"['Matthew Michael Carnahan (screenplay)', 'Drew Goddard (screenplay)']","['nm1996352', 'nm1206844', 'edits#writers']","['Brad Pitt', 'Mireille Enos', 'Daniella Kertesz']","['nm0000093', 'nm0257969', 'nm2020146']",63
tt1343092,['Baz Luhrmann'],nm0525303,"['Baz Luhrmann (screenplay)', 'Craig Pearce (screenplay)']","['nm0525303', 'nm0668902', 'edits#writers']","['Leonardo DiCaprio', 'Carey Mulligan', 'Joel Edgerton']","['nm0000138', 'nm1659547', 'nm0249291']",55
tt1663662,['Guillermo del Toro'],nm0868219,"['Travis Beacham (screenplay)', 'Guillermo del Toro (screenplay)']","['nm2012438', 'nm0868219', 'edits#writers']","['Idris Elba', 'Charlie Hunnam', 'Rinko Kikuchi']","['nm0252961', 'nm0402271', 'nm0452860']",65
tt1979388,['Peter Sohn'],nm0812307,"['Bob Peterson (original concept & development by)', 'Peter Sohn (story by)']","['nm0677037', 'nm0812307', 'edits#writers']","['Jeffrey Wright', 'Frances McDormand', 'Maleah Nipay-Padilla']","['nm0942482', 'nm0000531', 'nm5558187']",66
tt1217209,"['Mark Andrews', 'Brenda Chapman |\n1 more credit\xa0»']",nm0028764,"['Brenda Chapman (story by)', 'Mark Andrews (screenplay by)']","['nm0152312', 'nm0028764', 'edits#writers']","['Kelly Macdonald', 'Billy Connolly', 'Emma Thompson']","['nm0531808', 'nm0175262', 'nm0000668']",69
tt3731562,['Jordan Vogt-Roberts'],nm3611349,"['Dan Gilroy (screenplay by)', 'Max Borenstein (screenplay by)']","['nm0319659', 'nm1440919', 'edits#writers']","['Tom Hiddleston', 'Samuel L. Jackson', 'Brie Larson']","['nm1089991', 'nm0000168', 'nm0488953']",62
tt2660888,['Justin Lin'],nm0510912,"['Simon Pegg', 'Doug Jung']","['nm0670408', 'nm1136647', 'edits#writers']","['Chris Pine', 'Zachary Quinto', 'Karl Urban']","['nm1517976', 'nm0704270', 'nm0881631']",68
tt1856101,['Denis Villeneuve'],nm0898288,"['Hampton Fancher (screenplay by)', 'Michael Green (screenplay by)']","['nm0266684', 'nm0338169', 'edits#writers']","['Harrison Ford', 'Ryan Gosling', 'Ana de Armas']","['nm0000148', 'nm0331516', 'nm1869101']",81
tt6139732,['Guy Ritchie'],nm0005363,"['John August (screenplay by)', 'Guy Ritchie (screenplay by)']","['nm0041864', 'nm0005363']","['Will Smith', 'Mena Massoud', 'Naomi Scott']","['nm0000226', 'nm4565815', 'nm4305463']",53
tt3501632,['Taika Waititi'],nm0169806,"['Eric Pearson', 'Craig Kyle']","['nm3069408', 'nm1219736', 'edits#writers']","['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett']","['nm1165110', 'nm1089991', 'nm0000949']",74
tt1587310,['Robert Stromberg'],nm0834902,"['Linda Woolverton (screenplay by)', 'Charles Perrault (based on ""La Belle au bois dormant"" written by)']","['nm0941314', 'nm0674518']","['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley']","['nm0001401', 'nm1102577', 'nm1663205']",56
tt3183660,['David Yates'],nm0946734,['J.K. Rowling'],['nm0746830'],"['Eddie Redmayne', 'Katherine Waterston', 'Alison Sudol']","['nm1519666', 'nm2239702', 'nm0837223']",66
tt0918940,['David Yates'],nm0946734,"['Adam Cozad (screenplay by)', 'Craig Brewer (screenplay by)']","['nm3092414', 'nm0108132', 'edits#writers']","['Alexander Skarsgård', 'Rory J. Saper', 'Christian Stevens']","['nm0002907', 'nm4920741', 'nm7222287']",44
tt0970179,['Martin Scorsese'],nm0000217,"['John Logan (screenplay by)', 'Brian Selznick (based on the book entitled ""The Invention of Hugo Cabret"" by)']","['nm0517589', 'nm2561765']","['Asa Butterfield', 'Chloë Grace Moretz', 'Christopher Lee']","['nm2633535', 'nm1631269', 'nm0000489']",83
tt2239822,['Luc Besson'],nm0000108,"['Pierre Christin (based on the comic book series ""Valerian and Laureline"" by)', 'Jean-Claude Mézières (based on the comic book series ""Valerian and Laureline"" by)']","['nm0160391', 'nm0617789', 'edits#writers']","['Dane DeHaan', 'Cara Delevingne', 'Clive Owen']","['nm2851530', 'nm5353321', 'nm0654110']",51
tt1617661,"['Lana Wachowski (as The Wachowskis)', 'Lilly Wachowski (as The Wachowskis)']",nm0905154,"['Lilly Wachowski (as The Wachowskis)', 'Lana Wachowski (as The Wachowskis)']","['nm0905152', 'nm0905154']","['Channing Tatum', 'Mila Kunis', 'Eddie Redmayne']","['nm1475594', 'nm0005109', 'nm1519666']",40
tt4912910,['Christopher McQuarrie'],nm0003160,"['Bruce Geller (based on the television series created by)', 'Christopher McQuarrie']","['nm0312367', 'nm0003160']","['Tom Cruise', 'Henry Cavill', 'Ving Rhames']","['nm0000129', 'nm0147147', 'nm0000609']",86
tt3385516,['Bryan Singer'],nm0001741,"['Simon Kinberg (screenplay by)', 'Bryan Singer (story by)']","['nm1334526', 'nm0001741', 'edits#writers']","['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']","['nm0564215', 'nm1055413', 'nm2225369']",52
tt4779682,['Jon Turteltaub'],nm0005509,"['Dean Georgaris (screenplay by)', 'Jon Hoeber (screenplay by)']","['nm1212988', 'nm0388377', 'edits#writers']","['Jason Statham', 'Bingbing Li', 'Rainn Wilson']","['nm0005458', 'nm0508356', 'nm0933988']",46
tt1631867,['Doug Liman'],nm0510731,"['Christopher McQuarrie (screenplay by)', 'Jez Butterworth (screenplay by)']","['nm0003160', 'nm0125336', 'edits#writers']","['Tom Cruise', 'Emily Blunt', 'Bill Paxton']","['nm0000129', 'nm1289434', 'nm0000200']",71
tt4154664,"['Anna Boden', 'Ryan Fleck']",nm1349818,"['Anna Boden (screenplay by)', 'Ryan Fleck (screenplay by)']","['nm1349818', 'nm0281396', 'edits#writers']","['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn']","['nm0488953', 'nm0000168', 'nm0578853']",64
tt3040964,['Jon Favreau'],nm0269463,"['Justin Marks (screenplay by)', 'Rudyard Kipling (based on the books by)']","['nm1098479', 'nm0456017']","['Neel Sethi', 'Bill Murray', 'Ben Kingsley']","['nm5888481', 'nm0000195', 'nm0001426']",77
tt2096673,"['Pete Docter', 'Ronnie Del Carmen (co-director)']",nm0230032,"['Pete Docter (original story by)', 'Ronnie Del Carmen (original story by)']","['nm0230032', 'nm0215455', 'edits#writers']","['Amy Poehler', 'Bill Hader', 'Lewis Black']","['nm0688132', 'nm0352778', 'nm0085400']",94
tt2250912,['Jon Watts'],nm1218281,"['Jonathan Goldstein (screenplay by)', 'John Francis Daley (screenplay by)']","['nm0326246', 'nm0197855', 'edits#writers']","['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.']","['nm4043618', 'nm0000474', 'nm0000375']",73
tt1386697,['David Ayer'],nm0043742,['David Ayer'],['nm0043742'],"['Will Smith', 'Jared Leto', 'Margot Robbie']","['nm0000226', 'nm0001467', 'nm3053338']",40
