,0,1,2,3,4,5,6,7,8,9
tt1628841,Independence Day: Resurgence,2016,PG-13,2h,"['Action', 'Adventure', 'Sci-Fi']",24 June 2016,USA,5.2,,
tt2676292,Cowboys and Aliens,,11min,"Documentary, 
Short",['Episode aired 10 August 2011'],11min,"Documentary, 
Short",Episode aired 10 August 2011,5.9,
tt2771200,Beauty and the Beast,2017,PG,2h 9min,"['Family', 'Fantasy', 'Musical']",17 March 2017,USA,7.1,,
tt1477834,Aquaman,2018,PG-13,2h 23min,"['Action', 'Adventure', 'Fantasy']",21 December 2018,USA,7.0,,
tt1375666,Inception,2010,PG-13,2h 28min,"['Action', 'Adventure', 'Sci-Fi']",16 July 2010,USA,8.8,,
tt1951266,The Hunger Games: Mockingjay - Part 2,2015,PG-13,2h 17min,"['Action', 'Adventure', 'Sci-Fi']",20 November 2015,USA,6.5,,
tt7813262,Fast and Furious 6,,Talk-Show,Episode aired 10 June 2013,Talk-Show,Episode aired 10 June 2013,,,,
tt0831387,Godzilla,2014,PG-13,2h 3min,"['Action', 'Adventure', 'Sci-Fi']",16 May 2014,USA,6.4,,
tt1270798,X: First Class,2011,PG-13,2h 11min,"['Action', 'Adventure', 'Sci-Fi']",3 June 2011,USA,7.7,,
tt0963966,The Sorcerer's Apprentice,2010,PG,1h 49min,"['Action', 'Adventure', 'Family']",14 July 2010,USA,6.1,,
tt0803096,Warcraft,2016,PG-13,2h 3min,"['Action', 'Adventure', 'Fantasy']",10 June 2016,USA,6.8,,
tt1860357,Deepwater Horizon,2016,PG-13,1h 47min,"['Action', 'Drama', 'History']",30 September 2016,USA,7.1,,
tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,PG,1h 53min,"['Adventure', 'Family', 'Fantasy']",10 December 2010,USA,6.3,,
tt1340138,Terminator Genisys,2015,PG-13,2h 6min,"['Action', 'Adventure', 'Sci-Fi']",1 July 2015,USA,6.3,,
tt2557478,Pacific Rim: Uprising,2018,PG-13,1h 51min,"['Action', 'Adventure', 'Sci-Fi']",23 March 2018,USA,5.6,,
tt3450958,War for the Planet of the Apes,2017,PG-13,2h 20min,"['Action', 'Adventure', 'Drama']",14 July 2017,USA,7.4,,
tt0451279,Wonder Woman,2017,PG-13,2h 21min,"['Action', 'Adventure', 'Fantasy']",2 June 2017,USA,7.4,,
tt2294629,Frozen,2013,PG,1h 42min,"['Animation', 'Adventure', 'Comedy']",27 November 2013,USA,7.4,,
tt2948356,Zootopia,2016,PG,1h 48min,"['Animation', 'Adventure', 'Comedy']",4 March 2016,USA,8.0,,
tt3521164,Moana,2016,PG,1h 47min,"['Animation', 'Adventure', 'Comedy']",23 November 2016,USA,7.6,,
tt1981115,Thor: The Dark World,2013,PG-13,1h 52min,"['Action', 'Adventure', 'Fantasy']",8 November 2013,USA,6.9,,
tt2381249,Mission: Impossible - Rogue Nation,2015,PG-13,2h 11min,"['Action', 'Adventure', 'Thriller']",31 July 2015,USA,7.4,,
tt5013056,Dunkirk,2017,PG-13,1h 46min,"['Action', 'Drama', 'History']",21 July 2017,USA,7.9,,
tt0800369,Thor,2011,PG-13,1h 55min,"['Action', 'Adventure', 'Fantasy']",6 May 2011,USA,7.0,,
tt1302011,Kung Fu Panda 2,2011,PG,1h 30min,"['Animation', 'Action', 'Adventure']",26 May 2011,USA,7.2,,
tt1392190,Mad Max: Fury Road,2015,R,2h,"['Action', 'Adventure', 'Sci-Fi']",15 May 2015,USA,8.1,,
tt5884052,Pokémon Detective Pikachu,2019,PG,1h 44min,"['Action', 'Adventure', 'Comedy']",10 May 2019,USA,6.6,,
tt1677720,Ready Player One,2018,PG-13,2h 20min,"['Action', 'Adventure', 'Sci-Fi']",29 March 2018,USA,7.5,,
tt0938283,The Last Airbender,2010,PG,1h 43min,"['Action', 'Adventure', 'Family']",1 July 2010,USA,4.0,,
tt1646987,Wrath of the Titans,2012,PG-13,1h 39min,"['Action', 'Adventure', 'Fantasy']",30 March 2012,USA,5.7,,
tt1077368,Dark Shadows,2012,PG-13,1h 53min,"['Comedy', 'Fantasy', 'Horror']",11 May 2012,USA,6.2,,
tt2334879,White House Down,2013,PG-13,2h 11min,"['Action', 'Drama', 'Thriller']",28 June 2013,USA,6.4,,
tt0780653,The Wolfman,2010,R,1h 43min,"['Drama', 'Fantasy', 'Horror']",12 February 2010,USA,5.8,,
tt2034800,The Great Wall,2016,PG-13,1h 43min,"['Action', 'Adventure', 'Fantasy']",17 February 2017,USA,5.9,,
tt3332064,Pan,2015,PG,1h 51min,"['Adventure', 'Comedy', 'Family']",9 October 2015,USA,5.7,,
tt1305591,Mars Needs Moms,2011,PG,1h 28min,"['Animation', 'Action', 'Adventure']",11 March 2011,USA,5.4,,
tt1277953,Madagascar 3: Europe's Most Wanted,2012,PG,1h 33min,"['Animation', 'Adventure', 'Comedy']",8 June 2012,USA,6.8,,
tt1229238,Mission: Impossible - Ghost Protocol,2011,PG-13,2h 12min,"['Action', 'Adventure', 'Thriller']",21 December 2011,USA,7.4,,
tt1646971,How to Train Your Dragon 2,2014,PG,1h 42min,"['Animation', 'Action', 'Adventure']",13 June 2014,USA,7.8,,
m3119473,,,,,,,,,,
tt1446192,Rise of the Guardians,2012,PG,1h 37min,"['Animation', 'Action', 'Adventure']",21 November 2012,USA,7.3,,
tt0087332,Ghostbusters,1984,PG,1h 45min,"['Action', 'Comedy', 'Fantasy']",8 June 1984,USA,7.8,,
tt0458339,Captain America: The First Avenger,2011,PG-13,2h 4min,"['Action', 'Adventure', 'Sci-Fi']",22 July 2011,USA,6.9,,
tt2267968,Kung Fu Panda 3,2016,PG,1h 35min,"['Animation', 'Action', 'Adventure']",29 January 2016,USA,7.1,,
tt1583421,G.I. Joe: Retaliation,2013,PG-13,1h 50min,"['Action', 'Adventure', 'Sci-Fi']",28 March 2013,USA,5.8,,
tt1528100,Exodus: Gods and Kings,2014,PG-13,2h 30min,"['Action', 'Drama', 'Fantasy']",12 December 2014,USA,6.0,,
tt3691740,The BFG,2016,PG,1h 57min,"['Adventure', 'Family', 'Fantasy']",1 July 2016,USA,6.4,,
tt2404233,Gods of Egypt,2016,PG-13,2h 7min,"['Action', 'Adventure', 'Fantasy']",26 February 2016,USA,5.4,,
tt9382818,"The Twilight Saga: Breaking Dawn, Part 2",,"Comedy, 
Horror, 
Mystery",Episode aired 17 November 2012,"Comedy, 
Horror, 
Mystery",Episode aired 17 November 2012,,,,
tt0481499,The Croods,2013,PG,1h 38min,"['Animation', 'Action', 'Adventure']",22 March 2013,USA,7.2,,
tt1663202,The Revenant,2015,R,2h 36min,"['Action', 'Adventure', 'Drama']",8 January 2016,USA,8.0,,
tt1192628,Rango,2011,PG,1h 47min,"['Animation', 'Adventure', 'Comedy']",4 March 2011,USA,7.2,,
tt1860353,Turbo,2013,PG,1h 36min,"['Animation', 'Adventure', 'Comedy']",17 July 2013,USA,6.4,,
tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,PG-13,1h 52min,"['Action', 'Adventure', 'Comedy']",3 June 2016,USA,6.0,,
tt1402488,Happy Feet Two,2011,PG,1h 40min,"['Animation', 'Adventure', 'Comedy']",18 November 2011,USA,5.9,,
